value_eur,overall,potential,age,shooting,passing,dribbling,defending,physic,num_pos,international_reputation,best_pos
52000000,87,87,28,79,85,91,35,47,3,3,CF
61000000,86,92,23,81,79,86,38,70,1,2,LW
51500000,86,90,25,41,73,70,86,77,2,3,CB
52000000,86,90,24,41,59,66,87,82,1,1,CB
54500000,86,89,26,60,84,90,79,66,2,3,CM
50000000,86,89,25,63,69,69,86,82,1,3,CB
48000000,86,88,24,69,86,84,79,78,3,3,RB
51000000,86,87,27,77,83,91,59,60,3,3,CAM
52000000,86,87,27,82,80,87,61,78,3,3,CF
38000000,86,86,31,81,86,81,74,70,2,4,CM
42500000,86,86,29,68,87,85,75,67,2,3,CM
39000000,86,86,31,79,84,87,48,68,2,4,RW
28500000,86,86,32,58,69,70,87,79,1,3,CB
46500000,86,86,27,80,84,90,52,64,2,3,LW
41000000,86,86,30,80,88,79,70,69,1,2,CM
43500000,86,86,29,83,79,78,55,71,3,4,CAM
44500000,86,86,29,85,63,81,39,76,1,3,ST
46000000,86,86,28,85,75,86,40,74,1,3,ST
50000000,85,93,19,58,66,68,83,84,1,3,CB
52000000,85,91,22,64,84,87,76,76,2,3,CM
45000000,85,90,26,45,62,63,85,80,1,3,CB
46500000,85,90,23,42,55,50,86,82,1,2,CB
50500000,85,90,24,79,80,83,77,84,2,2,CM
47000000,85,90,23,68,77,77,82,80,2,2,CDM
49500000,85,89,24,78,79,81,78,78,3,3,CM
45000000,85,89,25,69,78,77,85,83,1,3,CDM
43500000,85,89,25,62,77,79,80,75,1,1,LB
45000000,85,89,24,45,52,54,86,82,1,2,CB
45000000,85,89,24,45,68,65,86,80,1,2,CB
49000000,85,88,24,83,87,85,65,74,2,2,CAM
46000000,85,86,26,82,73,72,35,84,1,3,ST
37500000,85,86,28,25,42,60,86,81,1,3,CB
38000000,85,86,27,73,81,80,80,76,2,4,LB
46000000,85,86,26,84,61,77,36,69,1,3,ST
38000000,85,86,27,47,78,81,82,80,1,3,RB
45000000,85,86,26,75,86,83,50,66,2,3,CAM
14000000,85,85,37,88,77,77,34,78,1,5,ST
34000000,85,85,31,78,81,86,39,55,3,3,CAM
34500000,85,85,31,85,71,80,31,71,1,4,ST
25000000,85,85,32,66,76,78,83,81,2,3,CDM
37500000,85,85,29,87,82,82,58,76,3,4,RW
28000000,85,85,31,74,83,89,77,79,1,4,LB
31500000,85,85,30,74,80,79,83,81,2,3,CDM
33000000,85,85,28,65,77,80,82,82,2,3,LB
34500000,85,85,31,84,77,85,35,64,2,2,ST
40500000,85,85,27,75,86,82,74,79,3,3,RM
40500000,85,85,27,86,87,86,50,63,3,4,CAM
38000000,85,85,28,71,78,84,85,84,1,2,CM
44500000,84,92,19,72,77,90,36,60,2,2,RM
46000000,84,92,20,78,79,84,44,65,2,1,CAM
42500000,84,90,22,79,80,87,36,57,2,3,RW
36500000,84,89,25,65,80,84,78,71,1,2,RB
41500000,84,89,23,81,79,82,71,79,2,3,CAM
37500000,84,89,23,54,70,71,83,82,2,3,CB
41000000,84,89,22,71,81,86,73,70,1,2,CM
40500000,84,88,25,80,81,84,32,78,3,3,CF
40000000,84,88,24,77,80,81,75,79,3,3,CM
40500000,84,88,23,78,81,85,40,68,3,2,CAM
40500000,84,88,23,76,77,87,29,60,3,2,LM
39500000,84,87,23,82,75,86,43,69,3,2,RM
39000000,84,87,25,82,81,88,33,77,1,3,CAM
37500000,84,86,26,76,84,85,49,59,3,2,CAM
33000000,84,86,26,72,84,81,80,76,1,3,LB
31500000,84,85,27,41,62,68,86,74,1,3,CB
36500000,84,85,26,77,79,89,55,61,1,3,LM
6500000,84,84,36,51,57,60,85,85,1,4,CB
23500000,84,84,32,75,85,82,71,67,1,3,CM
26500000,84,84,31,77,83,83,72,69,1,3,CM
23000000,84,84,31,51,52,60,84,83,1,3,CB
20500000,84,84,32,66,76,78,83,73,1,3,CDM
29500000,84,84,30,72,86,84,24,56,2,4,CAM
25500000,84,84,30,55,69,63,86,83,2,3,CDM
19500000,84,84,33,84,71,75,46,73,1,3,ST
31000000,84,84,28,73,78,84,76,78,2,3,CM
29500000,84,84,30,80,78,82,62,77,1,3,LM
19500000,84,84,33,80,71,75,65,86,2,3,ST
23500000,84,84,32,79,80,78,85,86,2,4,CM
25000000,84,84,30,50,72,65,84,82,1,4,CB
25500000,84,84,29,55,77,73,85,76,2,3,RB
24000000,84,84,32,78,75,83,47,64,2,3,RM
31000000,84,84,28,74,84,84,72,71,2,3,CM
29000000,84,84,30,81,77,80,78,85,3,3,CM
25500000,84,84,29,63,76,77,81,81,1,3,RB
31500000,84,84,28,79,83,81,51,66,3,2,CAM
31500000,84,84,28,73,79,91,43,61,3,3,LM
30500000,84,84,29,77,84,81,63,68,2,3,RM
29500000,84,84,30,80,84,85,41,71,3,3,CAM
28000000,84,84,31,84,84,85,43,67,2,3,CF
31500000,84,84,28,78,79,89,38,59,2,3,RW
30500000,84,84,29,79,79,83,47,64,2,2,RM
25000000,84,84,30,41,57,60,84,87,1,3,CB
36000000,83,90,23,78,78,83,74,69,3,1,CM
32000000,83,89,24,40,55,66,85,79,1,2,CB
35000000,83,89,23,78,82,85,65,72,3,1,CM
32000000,83,89,20,62,82,78,78,70,1,1,RB
36500000,83,89,21,82,68,81,29,74,1,1,ST
35000000,83,88,25,85,64,76,39,74,1,3,ST
34500000,83,88,23,81,72,86,41,71,3,3,LW
34500000,83,88,25,82,80,81,57,72,2,2,CAM
31000000,83,88,23,27,59,57,83,81,1,2,CB
34000000,83,88,24,77,79,78,76,79,2,2,CM
34500000,83,88,22,79,76,84,36,70,2,2,LM
34500000,83,88,24,81,75,85,33,67,3,1,RM
31000000,83,88,23,45,68,72,83,80,1,2,CB
35500000,83,88,21,82,73,84,45,77,2,2,ST
30000000,83,87,25,36,70,72,84,77,1,2,CB
33000000,83,87,24,74,79,80,77,80,2,2,CM
29500000,83,87,23,63,79,84,77,71,1,3,LB
34500000,83,87,23,81,67,83,35,69,1,3,ST
34000000,83,87,23,76,82,85,59,67,3,3,LM
30500000,83,87,23,45,57,66,83,81,1,2,CB
34000000,83,87,23,80,82,84,43,62,2,3,LW
28500000,83,86,25,69,79,79,80,76,1,2,LB
32500000,83,86,25,79,81,86,55,63,3,3,CAM
32500000,83,86,25,80,75,87,39,64,1,3,LM
32500000,83,86,26,83,63,76,35,82,1,1,ST
32000000,83,85,26,76,72,88,27,74,3,2,CF
32000000,83,85,25,84,68,80,36,63,1,2,ST
32000000,83,85,26,79,71,80,31,72,1,3,ST
32000000,83,85,25,81,62,76,51,82,1,1,ST
27500000,83,85,27,57,77,74,79,85,2,3,CDM
31500000,83,85,25,75,81,87,60,66,2,2,RM
27000000,83,85,27,37,61,61,83,79,1,1,CB
29500000,83,84,27,76,83,81,55,50,2,3,CAM
25500000,83,84,28,61,73,72,82,74,1,3,CB
29500000,83,84,27,76,82,84,57,57,3,2,CAM
31000000,83,84,26,79,76,87,42,66,3,3,CF
30500000,83,84,26,80,81,83,41,69,2,2,RW
29000000,83,84,27,63,84,81,70,73,2,2,CM
12000000,83,83,33,53,65,64,84,79,1,4,CB
12000000,83,83,33,41,61,63,86,72,1,3,CB
9500000,83,83,36,89,75,80,30,65,1,2,ST
16500000,83,83,33,82,69,77,43,72,1,3,ST
9500000,83,83,34,49,60,68,84,74,1,3,CB
24500000,83,83,30,82,78,84,31,67,3,3,RW
16500000,83,83,32,60,67,62,82,81,1,3,CB
22500000,83,83,31,79,78,83,83,82,2,3,CAM
19500000,83,83,31,73,84,82,77,70,3,3,CDM
25000000,83,83,30,82,64,75,49,85,1,4,ST
19500000,83,83,32,74,78,77,80,80,2,3,CM
16500000,83,83,32,65,74,70,82,77,1,4,CB
23500000,83,83,31,83,83,83,45,70,3,2,CF
22000000,83,83,29,70,83,77,78,80,2,2,CDM
25500000,83,83,29,81,84,80,57,69,1,3,CAM
25500000,83,83,28,77,79,80,68,74,2,3,CM
22000000,83,83,29,71,80,79,80,71,2,2,CDM
22000000,83,83,29,65,80,77,82,74,3,3,CDM
19000000,83,83,31,57,63,59,83,78,1,3,CB
22500000,83,83,31,72,77,88,66,67,2,3,RM
22000000,83,83,29,59,70,78,85,78,1,2,CDM
25500000,83,83,28,67,80,86,63,62,3,2,CM
27000000,83,83,28,80,74,82,44,70,1,2,ST
24000000,83,83,30,72,82,81,74,73,2,2,CM
27000000,83,83,28,82,77,85,39,61,1,2,ST
19000000,83,83,31,50,61,63,86,82,1,2,CB
24000000,83,83,27,63,72,74,82,85,2,3,CDM
27000000,83,83,28,85,73,85,30,71,3,2,ST
27500000,83,83,27,84,62,72,33,75,2,1,ST
23500000,83,83,27,43,56,64,85,77,1,1,CB
27000000,83,83,27,77,83,84,35,72,2,1,RW
31000000,82,89,22,82,79,83,39,61,3,1,LW
30500000,82,88,21,77,75,84,33,64,2,1,LW
31000000,82,88,22,80,72,86,39,71,1,2,ST
29000000,82,87,25,68,81,86,67,70,1,3,CM
30000000,82,87,25,81,57,77,41,82,1,3,ST
29000000,82,87,24,73,76,88,65,66,2,2,CM
27000000,82,87,23,67,77,80,81,75,2,2,CDM
29000000,82,87,22,74,83,76,70,73,1,2,CM
26500000,82,87,23,39,67,67,81,83,1,2,CB
30000000,82,87,21,75,76,85,40,73,3,2,RW
26000000,82,87,25,57,69,81,77,75,1,2,RB
26000000,82,86,24,39,55,64,85,74,1,2,CB
29000000,82,86,24,80,75,86,54,65,2,1,RM
29000000,82,86,25,80,72,80,41,82,2,2,ST
29000000,82,86,23,76,73,83,41,66,2,3,RW
29000000,82,86,24,71,74,86,47,61,2,3,RM
27000000,82,85,26,72,77,77,79,84,3,2,CM
27500000,82,85,25,74,82,84,64,70,1,2,CM
23000000,82,84,27,46,68,67,83,76,1,2,CB
27000000,82,84,25,76,83,87,33,53,2,3,RW
22500000,82,84,28,35,54,56,84,72,1,2,CB
24000000,82,84,26,43,67,63,82,78,1,2,CB
23500000,82,84,25,64,77,81,79,73,2,3,RB
23500000,82,84,26,57,72,76,80,81,1,2,LB
26000000,82,83,26,72,77,87,51,58,2,2,CAM
26000000,82,83,27,78,85,86,56,70,3,4,CF
23000000,82,83,27,73,74,75,83,82,2,2,CDM
26000000,82,83,27,82,68,75,40,81,1,2,ST
22000000,82,83,27,63,81,78,77,73,3,3,RB
22500000,82,83,26,52,76,80,74,76,3,1,LWB
26500000,82,83,26,84,79,79,41,83,3,2,ST
21000000,82,83,29,37,66,64,81,79,3,2,CB
21500000,82,83,28,49,69,65,83,81,1,2,CB
22500000,82,83,26,65,76,80,78,78,1,2,LB
23000000,82,83,26,53,64,69,81,84,1,1,CB
26000000,82,83,26,77,80,86,47,64,3,2,RM
25500000,82,83,27,71,81,83,33,62,2,2,CAM
26000000,82,83,26,76,77,81,67,78,2,2,LM
26500000,82,83,25,77,78,84,42,57,2,2,RM
26000000,82,83,26,71,74,86,50,52,2,2,LM
7000000,82,82,35,64,73,69,85,77,1,3,CDM
8000000,82,82,38,82,64,75,49,74,1,3,ST
13500000,82,82,33,69,77,83,69,53,2,2,RM
11000000,82,82,34,73,85,83,65,58,3,3,CM
21500000,82,82,29,75,75,76,78,81,1,3,CM
11000000,82,82,33,63,81,81,77,68,2,3,CDM
19500000,82,82,31,74,83,83,36,47,2,3,CAM
17500000,82,82,32,81,71,72,42,79,1,3,ST
18000000,82,82,30,55,63,55,81,78,1,3,CB
21000000,82,82,30,78,80,85,49,60,2,3,RW
10500000,82,82,33,49,65,67,81,82,1,3,CB
21500000,82,82,30,79,77,82,47,82,1,3,ST
21000000,82,82,30,78,77,85,44,73,2,4,LW
21500000,82,82,29,77,79,83,46,75,1,2,CAM
10000000,82,82,33,74,81,76,82,79,1,2,LB
23000000,82,82,28,82,73,79,24,76,1,4,ST
19500000,82,82,31,78,79,86,46,73,2,2,RM
19500000,82,82,31,79,75,86,47,69,2,2,CAM
21500000,82,82,30,82,57,66,45,80,1,3,ST
21500000,82,82,29,77,82,82,72,69,2,3,CM
19500000,82,82,31,77,77,84,43,56,2,3,RW
23000000,82,82,28,79,71,69,51,78,1,2,ST
24000000,82,82,26,78,71,84,42,60,1,3,LW
21500000,82,82,29,72,78,80,82,77,2,3,CM
23000000,82,82,27,77,81,85,46,69,2,3,RW
19000000,82,82,28,60,74,79,81,79,2,2,RWB
19500000,82,82,28,43,55,59,83,85,1,3,CB
23000000,82,82,28,81,72,80,35,76,1,2,ST
20000000,82,82,27,75,77,75,78,84,2,2,RB
21500000,82,82,29,76,74,85,34,71,1,3,RW
24000000,82,82,26,78,76,83,58,72,2,2,CAM
23000000,82,82,27,79,79,83,40,67,2,2,LW
17500000,82,82,32,81,65,74,55,75,1,3,ST
23000000,82,82,28,81,56,76,37,83,1,2,ST
20000000,82,82,31,81,76,85,58,69,2,2,ST
6500000,82,82,35,61,57,62,82,80,2,1,CB
17000000,82,82,31,57,74,77,82,74,3,1,CDM
0,82,82,27,43,56,65,83,76,1,1,CB
0,82,82,27,77,81,82,40,71,2,1,CAM
27000000,81,89,21,77,68,82,40,83,1,1,ST
26000000,81,89,21,71,79,83,66,67,1,1,CM
26000000,81,89,22,65,78,87,70,78,2,1,CM
23000000,81,88,21,50,66,71,81,81,2,1,CB
24500000,81,87,22,78,77,79,71,79,2,2,CAM
22000000,81,87,24,50,72,72,82,78,1,2,CB
24000000,81,87,22,67,79,84,68,68,3,2,CM
24500000,81,87,23,76,79,80,71,68,3,1,CAM
23000000,81,86,25,68,77,79,81,84,2,2,CM
21000000,81,86,24,61,77,80,75,69,1,2,LB
24000000,81,86,22,73,73,87,36,65,3,2,LW
22500000,81,85,25,72,81,84,70,61,2,3,CM
21500000,81,84,26,67,81,71,69,78,2,3,CM
22000000,81,84,26,76,79,84,68,60,3,2,CAM
21500000,81,84,26,73,76,79,78,88,2,2,CM
22500000,81,84,25,80,76,80,57,77,2,2,CAM
20000000,81,84,23,54,75,80,80,78,1,2,LB
22500000,81,84,26,79,61,79,25,73,1,1,ST
20000000,81,84,26,74,73,77,79,82,2,2,CDM
20500000,81,84,22,62,67,74,83,82,2,1,CDM
19000000,81,83,26,37,52,56,82,80,1,2,CB
22000000,81,83,26,81,76,78,39,74,2,2,ST
22000000,81,83,25,74,67,75,56,82,1,2,ST
21500000,81,83,25,73,78,83,46,61,1,1,LM
19500000,81,83,25,58,69,65,82,77,2,2,CB
21500000,81,83,25,75,82,85,66,57,3,3,LM
21500000,81,83,26,69,80,83,64,67,2,3,CAM
19000000,81,83,27,70,78,79,77,74,2,1,CDM
18500000,81,83,27,33,48,65,83,75,1,1,CB
19500000,81,83,26,73,79,80,76,73,2,2,CDM
20500000,81,82,27,75,80,84,37,61,2,2,CAM
21000000,81,82,26,70,75,88,62,54,2,3,RM
17500000,81,82,28,67,76,67,78,84,2,1,CDM
21000000,81,82,27,79,66,78,45,69,2,1,ST
21000000,81,82,26,80,59,69,39,83,1,1,ST
8000000,81,81,35,73,82,86,24,63,2,3,RM
5500000,81,81,35,64,73,62,83,81,1,3,CB
10500000,81,81,33,70,82,77,77,78,2,2,CM
6500000,81,81,36,82,73,80,50,70,1,2,ST
11000000,81,81,33,82,66,75,36,74,1,3,ST
15000000,81,81,31,68,77,87,77,80,3,3,CM
13500000,81,81,32,73,87,77,60,56,2,4,CM
8500000,81,81,33,43,63,64,82,74,1,3,CB
8500000,81,81,33,42,54,53,82,79,1,2,CB
15000000,81,81,31,73,79,79,71,72,3,2,CM
5500000,81,81,35,38,54,60,81,76,1,3,CB
13500000,81,81,32,68,81,82,72,68,3,3,CM
6000000,81,81,34,68,75,73,82,78,1,3,RB
14000000,81,81,32,79,74,77,43,67,1,3,ST
14000000,81,81,32,77,82,81,38,67,2,3,CAM
13500000,81,81,32,73,84,74,67,71,1,2,CM
13000000,81,81,31,48,62,63,82,74,2,3,CB
17000000,81,81,29,70,78,79,79,89,2,2,CM
7000000,81,81,34,76,76,75,79,79,2,2,CDM
13500000,81,81,31,62,71,70,81,82,2,2,CDM
15500000,81,81,31,72,80,82,41,58,1,3,CAM
14000000,81,81,32,79,79,87,27,56,3,2,CF
13500000,81,81,31,60,69,69,80,82,2,3,CDM
15000000,81,81,29,44,64,70,82,74,1,3,CB
14500000,81,81,30,68,77,72,80,78,2,3,CDM
15000000,81,81,28,73,79,77,79,79,2,2,LB
17000000,81,81,30,76,78,83,55,66,3,3,RM
15000000,81,81,28,63,76,75,82,82,1,2,RB
15000000,81,81,28,77,76,80,77,73,3,3,RB
16000000,81,81,31,81,73,82,39,70,2,1,CF
16500000,81,81,30,78,80,81,58,72,2,2,CM
18000000,81,81,28,73,79,82,58,69,2,2,RW
17000000,81,81,29,69,73,75,78,79,2,2,CM
18500000,81,81,27,74,81,86,76,84,2,2,LW
15500000,81,81,31,72,77,83,26,51,3,1,CAM
0,81,81,35,61,57,62,82,75,2,1,CB
0,81,81,31,72,77,83,26,51,3,1,CAM
0,81,81,27,82,60,71,34,75,2,1,ST
0,81,81,30,80,56,74,29,80,1,2,ST
28000000,80,93,19,80,74,81,40,70,2,1,CF
21500000,80,88,22,66,78,80,74,69,2,2,CM
20000000,80,88,22,30,64,68,79,76,2,1,CB
19000000,80,87,23,31,63,68,82,72,1,2,CB
20500000,80,87,22,78,82,78,68,67,2,2,CM
19000000,80,87,24,49,72,71,79,77,1,1,CB
21000000,80,87,22,74,81,78,62,68,2,1,RM
18000000,80,86,25,34,46,63,83,74,1,2,CB
20000000,80,86,23,58,77,83,71,66,2,1,CM
20500000,80,86,24,80,53,73,38,71,1,1,ST
20500000,80,86,22,77,70,84,53,76,2,2,CF
18500000,80,86,24,50,73,71,77,73,1,1,CDM
18000000,80,86,24,64,73,79,75,81,1,1,LB
20500000,80,86,21,71,77,82,55,61,3,1,RM
18500000,80,86,22,38,50,59,81,83,1,1,CB
17500000,80,85,24,51,70,78,76,66,2,3,RB
17500000,80,85,24,51,77,77,77,77,1,2,LB
20000000,80,85,22,77,61,76,30,81,1,1,ST
20000000,80,85,23,79,69,78,53,72,1,1,ST
20000000,80,85,23,75,76,83,30,57,2,2,LM
20000000,80,85,24,75,75,85,39,67,3,1,CF
18000000,80,85,24,48,69,74,79,85,2,2,CDM
19500000,80,85,22,70,75,78,73,78,3,1,CM
17500000,80,85,23,53,71,77,77,69,1,1,RB
20000000,80,85,22,80,68,72,32,79,1,1,ST
19000000,80,84,25,69,79,80,66,67,2,2,CM
17500000,80,84,24,51,59,55,78,83,1,2,CB
19000000,80,84,25,67,81,79,72,74,2,2,CM
17500000,80,84,24,53,70,71,81,77,1,1,CB
17000000,80,84,25,51,68,75,78,74,1,2,RB
17500000,80,84,25,71,78,80,73,80,2,3,CDM
19500000,80,84,24,76,72,83,29,69,3,2,RM
17500000,80,84,23,47,75,76,78,66,2,3,CDM
19000000,80,84,24,73,76,80,75,62,2,2,CM
17500000,80,84,24,49,58,61,81,74,1,2,CB
19500000,80,84,25,79,59,78,31,72,1,1,ST
16000000,80,83,26,67,79,76,78,74,2,3,LB
18500000,80,83,25,73,78,84,66,73,2,2,CM
18000000,80,83,26,73,81,77,73,72,2,1,CM
16000000,80,83,27,46,74,70,81,72,1,1,CB
19000000,80,83,25,73,75,87,30,56,3,3,CF
16000000,80,83,26,61,78,85,74,66,2,2,LB
16500000,80,83,26,49,62,66,80,79,1,2,CB
18500000,80,83,26,77,81,83,37,50,2,2,CAM
19000000,80,83,24,73,78,82,43,52,3,2,RM
19000000,80,83,25,80,70,78,39,81,3,1,ST
16500000,80,83,25,42,58,62,79,80,1,2,CB
18500000,80,83,25,74,76,82,48,63,2,1,LW
18500000,80,83,25,62,76,81,54,62,1,1,RM
18000000,80,82,26,72,78,85,32,50,3,2,CAM
15500000,80,82,27,41,65,63,81,75,1,1,CB
18000000,80,82,26,76,81,77,65,73,2,1,CAM
16000000,80,82,26,61,64,59,81,80,1,2,CB
16000000,80,82,26,32,63,54,82,74,1,2,CB
18000000,80,82,25,74,77,79,76,83,2,1,CM
17500000,80,81,27,78,67,77,39,75,1,1,ST
14500000,80,81,28,59,67,65,83,79,2,2,CDM
17000000,80,81,26,78,74,75,70,75,2,2,CM
14500000,80,81,27,43,74,75,75,81,3,2,RWB
14500000,80,81,28,49,71,73,77,77,2,2,CDM
14500000,80,81,28,56,64,61,80,78,1,2,CB
17500000,80,81,27,78,76,81,58,75,3,1,CF
16500000,80,81,27,73,78,77,70,66,2,2,CM
17500000,80,81,25,75,82,84,59,58,3,3,LW
17500000,80,81,27,78,65,77,32,72,2,2,ST
14500000,80,81,27,66,72,72,80,80,1,2,LB
15000000,80,81,27,68,77,80,76,74,1,2,CDM
5000000,80,80,37,78,83,82,44,56,3,2,LM
9500000,80,80,33,81,80,76,56,76,1,4,ST
11500000,80,80,32,75,79,86,37,62,2,3,LW
4700000,80,80,35,53,72,68,79,75,2,4,CDM
9500000,80,80,33,82,71,71,43,83,1,3,ST
5500000,80,80,37,83,67,70,41,70,1,1,ST
7000000,80,80,33,58,69,66,81,76,1,2,CB
7000000,80,80,35,81,61,79,35,67,1,1,ST
9500000,80,80,32,64,65,68,83,69,1,2,CB
12500000,80,80,28,62,74,79,80,75,2,3,LB
15500000,80,80,27,77,79,82,51,72,3,2,RM
11500000,80,80,32,82,80,77,72,81,1,2,CAM
3000000,80,80,36,65,62,60,81,71,1,3,CB
13500000,80,80,30,77,81,77,76,75,3,2,CM
11500000,80,80,32,78,85,81,45,59,1,2,RM
7500000,80,80,34,81,74,85,55,75,3,2,LW
9500000,80,80,32,67,81,75,74,75,2,2,CDM
7500000,80,80,34,75,80,82,34,48,2,3,LM
11500000,80,80,30,64,72,72,83,77,3,3,RB
12000000,80,80,30,51,62,60,82,77,2,2,CB
12000000,80,80,30,71,74,73,78,77,2,2,CDM
9000000,80,80,32,69,76,76,77,72,1,2,LB
9500000,80,80,32,41,54,53,82,81,1,3,CB
4500000,80,80,35,51,76,71,81,69,2,2,CB
12500000,80,80,29,55,61,64,78,82,1,2,CB
14000000,80,80,30,70,77,86,42,57,1,3,LW
13500000,80,80,31,79,72,75,58,86,1,2,ST
14500000,80,80,29,72,74,83,34,64,3,3,RM
12500000,80,80,28,60,81,76,78,72,2,2,RB
13000000,80,80,28,47,63,67,83,72,1,3,CB
12500000,80,80,29,61,75,74,75,78,2,2,CDM
14500000,80,80,30,80,78,79,59,72,1,2,CF
15000000,80,80,29,81,70,76,32,73,1,1,ST
12000000,80,80,30,55,71,68,79,86,2,2,CDM
14500000,80,80,28,66,75,78,78,77,2,2,CM
11500000,80,80,32,85,76,80,47,86,3,4,RM
14000000,80,80,29,72,80,73,77,80,2,3,CM
12500000,80,80,29,47,58,58,79,81,1,3,CB
11000000,80,80,31,32,44,53,79,82,1,3,CB
15000000,80,80,28,75,73,84,58,68,1,2,RM
13500000,80,80,27,57,71,67,80,79,1,2,CB
15000000,80,80,28,73,79,83,61,67,2,2,LM
14500000,80,80,29,76,78,83,57,71,2,2,CAM
15000000,80,80,29,78,70,75,43,78,1,2,ST
12500000,80,80,29,40,59,62,80,78,1,2,CB
16000000,80,80,26,73,80,83,48,53,2,2,LM
15500000,80,80,28,76,68,84,27,68,1,2,ST
12000000,80,80,30,40,59,60,82,79,2,3,CB
14500000,80,80,29,79,80,81,59,67,3,1,RM
15500000,80,80,27,77,81,82,36,62,1,2,RW
15500000,80,80,27,75,76,81,48,61,2,2,LM
12000000,80,80,29,66,74,81,75,75,1,1,LB
12500000,80,80,28,64,77,78,78,73,1,2,LB
13000000,80,80,28,49,65,63,80,81,2,2,CB
15500000,80,80,28,79,62,77,50,84,1,2,ST
13000000,80,80,27,55,74,75,79,77,1,2,RB
15500000,80,80,27,73,78,83,50,60,2,1,CAM
15500000,80,80,28,78,71,75,47,79,1,3,ST
16000000,80,80,26,69,76,85,38,44,1,2,LM
12500000,80,80,29,61,72,69,78,80,1,1,CDM
12500000,80,80,29,58,73,78,75,83,2,1,CDM
15500000,80,80,27,70,79,80,52,68,1,1,LM
14500000,80,80,30,79,61,75,31,77,1,1,ST
15500000,80,80,28,79,63,65,41,90,2,2,ST
4700000,80,80,35,62,74,76,78,77,2,1,CDM
10500000,80,80,31,54,76,78,75,74,2,1,LB
0,80,80,35,62,74,76,78,77,2,1,CDM
0,80,80,31,54,76,78,77,74,2,1,LB
22500000,79,92,18,70,71,85,29,63,1,2,LW
20000000,79,89,22,58,78,81,70,74,1,1,CM
20500000,79,89,21,75,75,81,60,77,2,1,CAM
17500000,79,88,21,50,63,78,80,72,1,1,RB
18000000,79,88,20,27,54,68,80,78,1,1,CB
18500000,79,87,23,73,77,80,71,74,3,1,CM
17000000,79,87,21,49,74,74,76,85,2,1,CDM
18500000,79,87,23,68,79,76,72,69,3,2,CM
18500000,79,87,21,74,71,83,44,64,2,2,RW
18500000,79,87,21,76,76,82,48,61,3,1,CAM
16000000,79,86,25,64,75,80,78,73,3,1,CDM
17500000,79,86,22,70,70,87,23,63,3,2,RW
17500000,79,86,23,76,75,79,49,74,3,1,RW
16000000,79,86,22,44,65,67,78,76,2,1,CB
18000000,79,86,20,68,70,84,36,58,2,3,LW
17500000,79,86,22,72,72,77,78,88,1,2,CM
16000000,79,86,20,62,72,80,74,74,2,1,LB
16000000,79,86,23,49,69,72,77,77,2,1,CDM
16000000,79,86,22,62,77,73,73,68,2,1,CDM
